Epoch	Epochs	Train Loss	Val Loss	Val IoU	Val DICE	Dur	Dur/Epoch
1	100	0.68924236	0.8157351	0.09839073	0.17915434	2.808067	0
2	100	0.67024469	0.77078491	0.10665949	0.19275937	6.339337	6.3393
3	100	0.64829171	0.72499847	0.13352385	0.23559072	9.833817	4.9169
4	100	0.62710667	0.69431478	0.14760297	0.257237	13.340992	4.447
5	100	0.62023693	0.67813063	0.14668592	0.25584324	16.853909	4.2135
6	100	0.60243344	0.6685127	0.14862132	0.2587821	20.372426	4.0745
7	100	0.59864026	0.65460134	0.15713504	0.27159326	23.820008	3.97
8	100	0.5829677	0.6379354	0.17299055	0.29495643	27.398001	3.914
9	100	0.57625449	0.62542033	0.1880825	0.31661522	32.018312	4.0023
10	100	0.56635201	0.61140436	0.2037917	0.33858299	36.351112	4.039
11	100	0.55986559	0.60096908	0.2152194	0.35420665	39.061138	3.9061
12	100	0.55434024	0.59071589	0.22035526	0.36113297	41.85011	3.8046
13	100	0.54322332	0.5792169	0.22687274	0.36983907	44.60837	3.7174
14	100	0.53365701	0.56423938	0.23942041	0.38634253	47.452008	3.6502
15	100	0.52427244	0.54894149	0.25538617	0.40686471	50.173388	3.5838
16	100	0.52202368	0.53547978	0.26695878	0.42141668	52.86908	3.5246
17	100	0.51190448	0.52406651	0.28877765	0.44814192	55.655207	3.4785
18	100	0.51058799	0.51134872	0.31463009	0.4786595	58.247049	3.4263
19	100	0.49439883	0.49818659	0.32665155	0.49244514	61.052551	3.3918
20	100	0.49495608	0.48447919	0.32952127	0.49569913	63.772653	3.3565
21	100	0.48581919	0.47379321	0.33870418	0.50601796	66.599165	3.33
22	100	0.47734994	0.46223116	0.35438506	0.52331507	69.815146	3.3245
23	100	0.47052208	0.44988829	0.37026026	0.54042326	72.571679	3.2987
24	100	0.46650586	0.44236404	0.34963948	0.51812278	75.243251	3.2714
25	100	0.46317872	0.43382484	0.33991489	0.50736789	77.982732	3.2493
26	100	0.45734489	0.42585775	0.33078062	0.49712269	80.613777	3.2246
27	100	0.45015177	0.41942108	0.33201647	0.49851707	83.434461	3.209
28	100	0.44825044	0.41417485	0.35739488	0.5265894	86.242833	3.1942
29	100	0.43622684	0.40892693	0.36211298	0.53169301	89.080842	3.1815
30	100	0.4344402	0.40588984	0.34548604	0.51354831	91.841899	3.167
31	100	0.43350559	0.40331334	0.33662955	0.5036991	94.465343	3.1488
32	100	0.42176473	0.40092438	0.33246019	0.49901707	97.416367	3.1425
33	100	0.42178243	0.39788961	0.33519319	0.50208942	100.100827	3.1282
34	100	0.41701353	0.39655417	0.33721126	0.50435002	102.588141	3.1087
35	100	0.41374955	0.39558172	0.34215541	0.5098596	105.462026	3.1018
36	100	0.40810412	0.39439538	0.3463988	0.51455602	108.219865	3.092
37	100	0.40399814	0.3935982	0.35243639	0.52118739	111.038374	3.0844
38	100	0.39902207	0.39078039	0.3674249	0.53739683	113.849457	3.077
39	100	0.39520603	0.38828117	0.37884448	0.5495101	116.621027	3.069
40	100	0.39187932	0.38593626	0.38957416	0.56071014	119.38855	3.0612
41	100	0.38835096	0.38219589	0.40736544	0.57890499	122.221595	3.0555
42	100	0.38265166	0.37849686	0.42706793	0.59852502	124.964211	3.0479
43	100	0.38089147	0.37465096	0.45329004	0.62381222	127.575171	3.0375
44	100	0.37639576	0.37154275	0.49016661	0.6578682	130.300138	3.0302
45	100	0.37365168	0.36773646	0.51306505	0.67817976	132.76552	3.0174
46	100	0.371975	0.36520445	0.53238325	0.69484348	135.609436	3.0135
47	100	0.36458412	0.36228603	0.54721385	0.70735387	138.221764	3.0048
48	100	0.36134607	0.36015391	0.56102729	0.71879242	140.951458	2.999
49	100	0.35744458	0.35722995	0.56996949	0.72608989	143.788418	2.9956
50	100	0.35580635	0.35434222	0.58034467	0.73445329	146.580519	2.9914
51	100	0.35122573	0.3521626	0.58910181	0.7414274	149.2172	2.9843
52	100	0.34638691	0.34965563	0.5941412	0.74540599	152.205436	2.9844
53	100	0.34476447	0.34706751	0.59703829	0.74768187	154.969274	2.9802
54	100	0.3407118	0.344497	0.5969697	0.74762808	157.621054	2.974
55	100	0.34213737	0.34299093	0.60067776	0.75052928	160.408456	2.9705
56	100	0.33399114	0.3408761	0.60139409	0.75108818	163.200712	2.9673
57	100	0.32975447	0.33893469	0.60584349	0.75454861	165.832752	2.9613
58	100	0.32703435	0.33706555	0.61215808	0.75942687	168.612776	2.9581
59	100	0.32387176	0.33519727	0.61668829	0.76290314	171.410162	2.9553
60	100	0.32131034	0.33380044	0.61754864	0.76356114	174.176348	2.9521
61	100	0.31727201	0.33252835	0.62089197	0.76611148	176.826117	2.9471
62	100	0.31600285	0.33007962	0.62271244	0.76749574	179.423892	2.9414
63	100	0.31112087	0.32715499	0.62397639	0.768455	182.18529	2.9385
64	100	0.30974063	0.32434094	0.62369338	0.76824034	184.940472	2.9356
65	100	0.30775419	0.32136828	0.62250568	0.76733868	187.803635	2.9344
66	100	0.30310696	0.31830472	0.62478907	0.76907099	190.741019	2.9345
67	100	0.29888463	0.31555772	0.62526298	0.76942992	193.556423	2.9327
68	100	0.30003643	0.31266683	0.62679366	0.77058778	196.31213	2.93
69	100	0.29493102	0.30925068	0.62782601	0.77136747	198.99758	2.9264
70	100	0.29302406	0.30635381	0.6275341	0.7711471	201.783256	2.9244
71	100	0.2936576	0.3041414	0.6280964	0.77157151	204.551176	2.9222
72	100	0.28814849	0.30145514	0.62976011	0.77282553	207.336279	2.9202
73	100	0.28678057	0.2988677	0.63096894	0.77373508	210.185274	2.9192
74	100	0.28693748	0.29687095	0.6316012	0.77421027	213.127248	2.9196
75	100	0.28269097	0.29396236	0.63241999	0.7748251	216.006174	2.919
76	100	0.28170374	0.29171205	0.63370307	0.77578733	218.801306	2.9174
77	100	0.27665967	0.28949952	0.63453918	0.77641355	221.599411	2.9158
78	100	0.27670315	0.28770915	0.63687293	0.77815806	224.429044	2.9147
79	100	0.27253625	0.28602356	0.64089586	0.78115361	227.308968	2.9142
80	100	0.27109471	0.28464964	0.64257633	0.78240057	230.320477	2.9154
81	100	0.27097937	0.28322265	0.64237748	0.78225315	233.012538	2.9127
82	100	0.26927224	0.2813175	0.64253753	0.78237181	235.940541	2.9128
83	100	0.26490945	0.27903813	0.64336638	0.78298593	238.720567	2.9112
84	100	0.26337698	0.27697963	0.64301505	0.7827257	241.617148	2.911
85	100	0.26215982	0.27477384	0.6424737	0.78232449	244.391188	2.9094
86	100	0.26044464	0.27258465	0.64209295	0.78204215	247.386941	2.9104
87	100	0.25808889	0.27057162	0.64257326	0.7823983	250.415228	2.9118
88	100	0.25797048	0.26878992	0.64084755	0.78111772	253.301367	2.9115
89	100	0.25519195	0.26658353	0.63944285	0.78007336	256.16349	2.9109
90	100	0.25329858	0.26481315	0.63761468	0.77871148	258.78393	2.9077
91	100	0.25165299	0.2627306	0.63911613	0.7798302	261.710828	2.9079
92	100	0.2505312	0.26048094	0.64220143	0.7821226	264.737004	2.9092
93	100	0.2481017	0.25842243	0.64347326	0.78306508	267.58301	2.9085
94	100	0.24611232	0.25637203	0.64514697	0.78430314	270.371847	2.9072
95	100	0.24398172	0.25424412	0.64435502	0.78371764	273.054325	2.9048
96	100	0.24573815	0.25224724	0.64076227	0.78105437	275.987986	2.9051
97	100	0.24108762	0.25035387	0.63272249	0.77505209	278.915118	2.9054
98	100	0.2403395	0.24879429	0.63295336	0.77522528	281.907963	2.9063
99	100	0.23927256	0.24703971	0.63726646	0.77845174	284.585139	2.9039
100	100	0.23775585	0.24543464	0.64364441	0.7831918	287.355975	2.9026
