Epoch	Epochs	Train Loss	Val Loss	Val IoU	Val DICE	Dur	Dur/Epoch
1		100	0.64171314	0.79914904	0.10483414	0.18977353	2.558199	0
2		100	0.59151119	0.76326472	0.12664785	0.22482242	4.74147	4.7415
3		100	0.56746137	0.73636997	0.14071007	0.2467061	6.92043	3.4602
4		100	0.54803693	0.71775806	0.15427314	0.26730786	9.195831	3.0653
5		100	0.53270686	0.70573258	0.17681426	0.30049646	11.670086	2.9175
6		100	0.51581496	0.69727254	0.19248792	0.32283416	13.858607	2.7717
7		100	0.49812716	0.69347322	0.20132372	0.33516981	15.848924	2.6415
8		100	0.48809355	0.68718749	0.21017989	0.34735314	17.958625	2.5655
9		100	0.47549161	0.67837727	0.22131513	0.36242101	20.051175	2.5064
10		100	0.46538541	0.66953242	0.23085455	0.37511265	22.139157	2.4599
11		100	0.45471638	0.65803742	0.24366201	0.39184602	24.328894	2.4329
12		100	0.44547498	0.64642662	0.25613942	0.40782005	26.517595	2.4107
13		100	0.438236	0.6347661	0.26894942	0.42389305	28.710888	2.3926
14		100	0.42817974	0.62212646	0.28442601	0.44288423	30.923131	2.3787
15		100	0.42045954	0.60750657	0.30134171	0.46312465	33.09938	2.3642
16		100	0.4127858	0.59001553	0.3174396	0.48190384	35.379191	2.3586
17		100	0.40629736	0.56988651	0.33203414	0.49853698	37.429906	2.3394
18		100	0.3993161	0.54519588	0.35576211	0.52481495	39.711921	2.336
19		100	0.39308316	0.52036452	0.37629231	0.54682034	41.908852	2.3283
20		100	0.38560009	0.49836656	0.39144655	0.56264691	44.149128	2.3236
21		100	0.37986264	0.47631422	0.40521273	0.57672795	46.218186	2.3109
22		100	0.37374711	0.45530838	0.41941411	0.59096793	48.595427	2.3141
23		100	0.36743963	0.44031638	0.43550668	0.60676371	50.668129	2.3031
24		100	0.36232403	0.42805451	0.44672371	0.61756603	52.641451	2.2888
25		100	0.35647058	0.41692609	0.45417538	0.62465008	54.69809	2.2791
26		100	0.35254773	0.40635031	0.46101075	0.63108468	56.710201	2.2684
