Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,100,0.39681652,0.57071161,0.0,0.0,5.337339,0
2,100,0.34250045,0.43069959,0.0,0.0,7.937843,7.9378
9,100,0.18152721,0.34664416,0.00987428,0.01955547,21.715596,2.7144
11,100,0.16153188,0.29127204,0.11975303,0.21389186,25.275588,2.5276
12,100,0.14956383,0.25319958,0.30108512,0.46282155,27.068873,2.4608
13,100,0.14137816,0.22375128,0.26903777,0.42400277,28.912764,2.4094
14,100,0.13257116,0.19101769,0.25899881,0.41143615,30.665834,2.3589
15,100,0.12409322,0.17075278,0.26140297,0.41446386,32.870398,2.3479
16,100,0.11849827,0.15758631,0.27626561,0.43292809,34.785666,2.319
17,100,0.1121105,0.14461112,0.25210347,0.40268792,36.603708,2.2877
18,100,0.10806922,0.14253491,0.24274058,0.39065366,38.39603,2.2586
19,100,0.10264689,0.14013825,0.25367529,0.40469058,40.135898,2.2298
20,100,0.09778881,0.13666353,0.26174497,0.41489362,41.983843,2.2097
21,100,0.09514332,0.13164434,0.28549334,0.44417708,43.842592,2.1921
22,100,0.09148841,0.12156513,0.31930334,0.4840484,45.691314,2.1758
23,100,0.08956388,0.10921632,0.36669255,0.53661308,47.490362,2.1587
24,100,0.08501383,0.10546492,0.35822,0.5274845,49.338855,2.1452
25,100,0.082495,0.10345868,0.33129379,0.497702,51.187766,2.1328
26,100,0.07883303,0.10171903,0.3136777,0.47755655,53.194851,2.1278
27,100,0.07677211,0.10041671,0.30410754,0.46638414,55.061011,2.1177
28,100,0.07404549,0.09704782,0.32761771,0.49354224,56.917474,2.1081
29,100,0.07033148,0.09151498,0.35476906,0.52373363,59.041537,2.1086
30,100,0.0702794,0.08426607,0.40146191,0.57291876,60.92035,2.1007
31,100,0.06767298,0.07700254,0.48260507,0.65102309,62.77558,2.0925
32,100,0.06507905,0.06992973,0.5614019,0.71909981,64.651628,2.0855
33,100,0.06448683,0.0650702,0.63100838,0.77376473,66.516603,2.0786
34,100,0.06241501,0.06307346,0.66826588,0.80115033,68.352598,2.0713
35,100,0.05965598,0.06085687,0.67347921,0.80488506,70.195629,2.0646
36,100,0.05885873,0.05904111,0.66518551,0.79893262,72.03882,2.0583
37,100,0.05662672,0.05781799,0.66832709,0.80119431,73.887098,2.0524
38,100,0.05563402,0.05744113,0.67861162,0.80853916,75.738901,2.047
43,100,0.04920313,0.05696569,0.63132189,0.77400039,87.817602,2.0909
52,100,0.04009279,0.05551594,0.59919125,0.74936784,105.107951,2.0609
53,100,0.03903351,0.05170466,0.64678445,0.78551197,107.134717,2.0603
62,100,0.03311499,0.05114893,0.64538134,0.78447631,124.675889,2.0439
71,100,0.02964618,0.04795526,0.6449763,0.78417701,142.055053,2.0294
72,100,0.02936151,0.04710253,0.64224993,0.78215857,144.131698,2.03
75,100,0.028965,0.04459931,0.66328514,0.79756035,149.880023,2.0254
79,100,0.02663687,0.04453032,0.66674546,0.80005673,157.84874,2.0237
80,100,0.02592679,0.04304169,0.67791716,0.80804604,159.674255,2.0212
82,100,0.02632331,0.04090809,0.69252588,0.81833417,163.730088,2.0214
83,100,0.02489949,0.04085347,0.69324777,0.81883795,165.654583,2.0202
91,100,0.02330653,0.03918215,0.72517898,0.84069999,180.580733,2.0065
92,100,0.02351686,0.03773552,0.73752467,0.84893721,182.434871,2.0048
93,100,0.02266144,0.03639303,0.74689207,0.85510958,184.282918,2.0031
94,100,0.02254686,0.03520159,0.76041038,0.86390127,186.198962,2.0021
95,100,0.02279511,0.03482697,0.76094815,0.86424822,188.129237,2.0014
