Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,100,1.20009995,1.65003538,0.05663121,0.10719201,1.693051,0
5,100,1.10402703,1.63939404,0.08167697,0.15101916,8.941069,2.2353
6,100,1.08188152,1.53924513,0.09185372,0.16825279,10.689368,2.1379
7,100,1.06743157,1.49055827,0.10353709,0.18764587,12.458145,2.0764
8,100,1.0561502,1.36625099,0.12192957,0.2173569,14.214189,2.0306
9,100,1.04161608,1.27868462,0.13581854,0.23915535,16.342433,2.0428
10,100,1.03652346,1.20289135,0.15878199,0.27404981,18.337171,2.0375
11,100,1.03152108,1.16962183,0.17722694,0.30109223,20.076237,2.0076
12,100,1.01781499,1.11612308,0.21923789,0.35963103,21.861722,1.9874
13,100,1.00960708,1.08184266,0.27552491,0.43201808,23.628298,1.969
14,100,0.99735463,1.06793201,0.31101876,0.47446881,25.369344,1.9515
15,100,0.98863083,1.05882764,0.36892898,0.53900383,27.121635,1.9373
16,100,0.98354387,1.05129874,0.37519311,0.54565879,28.899895,1.9267
17,100,0.98121452,1.04679406,0.34429115,0.51222706,30.676065,1.9173
18,100,0.98040032,1.04090142,0.38540022,0.55637384,32.453055,1.909
19,100,0.96717769,1.03491068,0.43143694,0.60280258,34.268986,1.9038
20,100,0.95529115,1.03052855,0.47035484,0.63978412,36.116992,1.9009
21,100,0.95383984,1.02563965,0.5063643,0.67229992,38.045394,1.9023
22,100,0.94988602,1.02004755,0.52876235,0.69175219,40.029833,1.9062
23,100,0.94146311,1.01484561,0.53214995,0.69464473,42.33082,1.9241
24,100,0.93913478,1.01002741,0.54480929,0.70534181,44.143013,1.9193
25,100,0.93274176,1.00541723,0.55338374,0.71248813,46.078015,1.9199
26,100,0.92635298,1.00144827,0.55894544,0.71708147,48.218032,1.9287
27,100,0.92581385,0.99795771,0.56213889,0.71970411,50.091925,1.9266
28,100,0.92259699,0.99374646,0.5654591,0.72241952,52.203011,1.9334
29,100,0.91737992,0.98917842,0.57296906,0.72851917,54.050916,1.9304
30,100,0.91793609,0.98252904,0.58482814,0.73803352,55.850377,1.9259
31,100,0.91665667,0.97511834,0.59919667,0.74937208,57.706072,1.9235
32,100,0.90602386,0.9681375,0.61083781,0.75841008,59.534264,1.9205
33,100,0.90329188,0.96249312,0.61575692,0.76219005,61.319546,1.9162
34,100,0.8983525,0.95817238,0.61977946,0.76526401,63.125638,1.9129
35,100,0.90238941,0.95425063,0.62369123,0.76823871,64.919398,1.9094
36,100,0.89411598,0.95079064,0.62877815,0.77208569,66.822092,1.9092
37,100,0.89169353,0.94826698,0.63210377,0.77458772,68.684337,1.9079
38,100,0.88937724,0.94594771,0.63365489,0.77575123,70.508875,1.9056
39,100,0.88603854,0.94378626,0.63571317,0.77729175,72.356036,1.9041
40,100,0.88379556,0.94205254,0.63435032,0.77627215,74.157821,1.9015
41,100,0.88123387,0.94018275,0.63094412,0.77371642,75.988132,1.8997
42,100,0.87796879,0.93816334,0.62875536,0.77206851,77.844234,1.8986
43,100,0.87740523,0.93605018,0.62816944,0.77162662,79.906398,1.9025
44,100,0.8725583,0.93437248,0.62296506,0.76768758,81.700997,1.9
45,100,0.8713575,0.9325546,0.61849472,0.76428389,83.534047,1.8985
46,100,0.87067986,0.92978764,0.6195879,0.76511797,85.368466,1.8971
47,100,0.86764938,0.92671359,0.62486097,0.76912546,87.182214,1.8953
48,100,0.86602676,0.92319238,0.63400453,0.77601318,89.068604,1.8951
49,100,0.85965407,0.92004126,0.64151915,0.78161641,90.913058,1.894
50,100,0.85836005,0.91704166,0.64870172,0.78692429,92.748377,1.8928
51,100,0.85283297,0.91496772,0.65280725,0.78993754,94.635614,1.8927
52,100,0.8519156,0.91289216,0.65450803,0.79118145,96.53372,1.8928
53,100,0.8508572,0.91058278,0.65707672,0.79305528,98.480118,1.8938
54,100,0.84693909,0.90802491,0.66124572,0.79608418,100.334177,1.8931
55,100,0.84674907,0.90593821,0.66372047,0.79787498,102.350641,1.8954
56,100,0.84004503,0.90386343,0.66692835,0.80018838,104.307073,1.8965
57,100,0.83957255,0.90132964,0.67008828,0.80245851,106.206019,1.8965
58,100,0.83478343,0.89831132,0.67516904,0.80609063,108.13338,1.8971
59,100,0.83676493,0.89546525,0.67977663,0.8093655,109.99029,1.8964
60,100,0.83237177,0.89325798,0.68108365,0.81029121,111.870005,1.8961
61,100,0.82744265,0.89151573,0.68016965,0.80964401,113.749236,1.8958
62,100,0.82879949,0.88980007,0.68085446,0.81012898,115.614321,1.8953
63,100,0.82660955,0.88820565,0.67986865,0.80943072,117.48717,1.895
64,100,0.8235625,0.88628626,0.68167358,0.81070856,119.405164,1.8953
65,100,0.81566423,0.88427323,0.68189899,0.81086795,121.270943,1.8949
66,100,0.81663632,0.88206077,0.68485993,0.81295771,123.104345,1.8939
67,100,0.81731868,0.88021451,0.68428179,0.81255024,124.97794,1.8936
68,100,0.81190586,0.87901068,0.68264858,0.81139769,127.186073,1.8983
69,100,0.80857849,0.87776619,0.6828026,0.81150647,129.086623,1.8983
70,100,0.80595231,0.87660563,0.68458476,0.8127638,131.002271,1.8986
71,100,0.80283326,0.87530208,0.6869902,0.81445665,132.886312,1.8984
72,100,0.80352014,0.87419438,0.6894025,0.8161495,134.966454,1.9009
73,100,0.80337864,0.87327212,0.69058619,0.81697839,136.879894,1.9011
76,100,0.79329205,0.87265182,0.67851436,0.80847013,142.434124,1.8991
77,100,0.79166198,0.87120956,0.68201216,0.81094795,144.337694,1.8992
78,100,0.78624249,0.87055105,0.68233821,0.8111784,146.234325,1.8991
79,100,0.78453308,0.86994767,0.68190683,0.81087349,148.35125,1.9019
80,100,0.78251445,0.86918408,0.68320677,0.81179185,150.242195,1.9018
81,100,0.7825473,0.86731905,0.68791785,0.81510821,152.466404,1.9058
82,100,0.7840088,0.86584496,0.68912121,0.81595235,154.574161,1.9083
