Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,200,1.00601459,2.43963122,0.03708511,0.07151797,15.589903,0
4,200,0.87398046,2.35801935,0.05395398,0.10238394,38.124274,12.7081
5,200,0.83566207,2.04720592,0.06321188,0.11890739,45.526688,11.3817
6,200,0.80568546,1.64381981,0.07755397,0.14394447,52.984909,10.597
7,200,0.78796345,1.35727394,0.09520356,0.17385547,60.512914,10.0855
8,200,0.76466966,1.13323486,0.12063385,0.21529574,67.962692,9.709
9,200,0.73771387,0.97365856,0.1494925,0.26010174,75.440761,9.4301
10,200,0.72146165,0.85853261,0.17495021,0.29780022,82.85366,9.206
11,200,0.70766163,0.79215705,0.19263544,0.32304162,90.2328,9.0233
12,200,0.70684785,0.76699471,0.20070861,0.33431693,98.441996,8.9493
13,200,0.68426365,0.74270487,0.22219105,0.36359463,106.570974,8.8809
14,200,0.66819781,0.72678757,0.24485183,0.39338309,114.426596,8.802
15,200,0.66400892,0.71699613,0.26128532,0.41431596,122.147719,8.7248
16,200,0.66675657,0.70701253,0.2731561,0.42910073,129.788607,8.6526
17,200,0.65504998,0.69769317,0.28405278,0.44243163,137.516984,8.5948
18,200,0.63937527,0.68817317,0.29640367,0.45727064,145.153668,8.5385
19,200,0.623559,0.68002719,0.3041412,0.46642372,152.687291,8.4826
20,200,0.61830467,0.67266124,0.31244526,0.47612692,160.272466,8.4354
21,200,0.61343759,0.66469193,0.32502706,0.49059686,167.792807,8.3896
22,200,0.60664421,0.65704906,0.33952918,0.50693809,175.348224,8.3499
23,200,0.5972122,0.65032339,0.34890868,0.51731994,182.889661,8.3132
24,200,0.5920977,0.64248782,0.36260722,0.53222559,190.547209,8.2847
25,200,0.58455986,0.63653666,0.37143253,0.54167088,198.181572,8.2576
26,200,0.57690996,0.63134128,0.37891929,0.54958879,205.762055,8.2305
27,200,0.56724805,0.62722111,0.38064408,0.55140074,213.298973,8.2038
28,200,0.56288201,0.6238457,0.37880189,0.54946529,220.924985,8.1824
29,200,0.55915278,0.61880511,0.38770338,0.55876981,228.724072,8.1687
30,200,0.55121696,0.61213624,0.40127309,0.57272646,236.241018,8.1462
31,200,0.54328251,0.60511231,0.41352943,0.58510197,243.855857,8.1285
32,200,0.5424307,0.59714878,0.4262051,0.59767715,251.545681,8.1144
33,200,0.53853381,0.59103292,0.43430742,0.60559879,259.097918,8.0968
