Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,150,0.45445707,0.52643943,0.0,0.0,19.965105,0
12,150,0.33048826,0.51820272,0.26230295,0.41559429,267.080827,24.2801
13,150,0.32360503,0.50307959,0.30755334,0.47042569,290.880826,24.2401
14,150,0.31613603,0.48924673,0.32810749,0.4940978,315.94905,24.3038
15,150,0.30880448,0.47352022,0.3415579,0.50919591,341.577139,24.3984
16,150,0.30276024,0.4587042,0.35260055,0.52136686,366.857166,24.4571
17,150,0.29714745,0.44525364,0.36112004,0.53062189,391.631284,24.477
18,150,0.2890273,0.43085873,0.3754923,0.54597514,416.019914,24.4718
19,150,0.28611973,0.41265544,0.39911246,0.57052235,439.594051,24.4219
20,150,0.27855071,0.39524525,0.41973401,0.59128542,465.315536,24.4903
21,150,0.27108794,0.37939012,0.43243531,0.60377639,489.223384,24.4612
22,150,0.26688769,0.36249745,0.44887684,0.61962042,513.289438,24.4424
23,150,0.26072809,0.34780177,0.45947304,0.62964238,537.172433,24.4169
24,150,0.25617006,0.33420685,0.46802651,0.63762678,560.997463,24.3912
25,150,0.25055864,0.32266241,0.47631442,0.64527504,584.524385,24.3552
26,150,0.24353459,0.31298921,0.48455466,0.65279464,609.909833,24.3964
27,150,0.23993145,0.30395085,0.49112129,0.65872748,634.14139,24.3901
28,150,0.23683324,0.29722989,0.49490258,0.66212018,658.456204,24.3873
29,150,0.2299614,0.29036745,0.50146018,0.66796334,682.206288,24.3645
30,150,0.22629561,0.28400099,0.50809659,0.673825,707.271539,24.3887
31,150,0.22363418,0.27604941,0.5202356,0.68441444,731.578378,24.3859
32,150,0.21917023,0.2667892,0.535421,0.69742566,755.146692,24.3596
33,150,0.21641473,0.25862601,0.55286213,0.71205565,779.799562,24.3687
34,150,0.21314918,0.25040627,0.57031954,0.72637387,804.872786,24.3901
35,150,0.20900658,0.24444631,0.5824326,0.73612311,825.354746,24.2751
36,150,0.20522225,0.23863266,0.59293929,0.74445937,846.440958,24.184
37,150,0.20416601,0.23302844,0.60532736,0.75414819,867.008689,24.0836
38,150,0.20023343,0.227787,0.61420752,0.76100193,887.368773,23.9829
39,150,0.19690065,0.2216803,0.62558098,0.76967065,907.520655,23.8821
40,150,0.19428785,0.21628053,0.63567548,0.77726357,928.688023,23.8125
41,150,0.19118029,0.21071742,0.644655,0.78393949,949.649434,23.7412
42,150,0.18871143,0.20565487,0.65008979,0.78794475,971.102367,23.6854
43,150,0.18547657,0.20081416,0.65590247,0.7921994,991.851595,23.6155
44,150,0.18385796,0.19649346,0.66090895,0.79584007,1012.038746,23.5358
45,150,0.18211251,0.1925364,0.66527373,0.79899625,1032.824331,23.4733
46,150,0.17782149,0.18789662,0.67039689,0.80267976,1055.922564,23.4649
47,150,0.1780172,0.18477914,0.67177705,0.80366823,1078.402765,23.4435
48,150,0.1750329,0.1817243,0.67185045,0.80372075,1101.260915,23.4311
49,150,0.17162867,0.17869753,0.66973708,0.80220663,1124.243541,23.4217
50,150,0.17071429,0.17590669,0.66895702,0.80164679,1146.978495,23.4077
51,150,0.16839062,0.17238779,0.66988609,0.80231352,1169.724442,23.3945
52,150,0.16692622,0.16951488,0.67025415,0.80257744,1192.976382,23.3917
53,150,0.16342282,0.16617455,0.67173591,0.80363879,1217.418175,23.4119
54,150,0.16243166,0.16330016,0.67498197,0.80595729,1242.711501,23.4474
55,150,0.16041952,0.15972075,0.67803563,0.8081302,1267.030066,23.4635
56,150,0.15806518,0.15693091,0.67867873,0.8085868,1293.142236,23.5117
57,150,0.15671924,0.15474397,0.67773695,0.80791801,1316.723777,23.5129
58,150,0.15480539,0.15224478,0.67703595,0.80741972,1340.346082,23.5148
59,150,0.15403001,0.15008332,0.67577803,0.80652451,1364.837708,23.5317
60,150,0.15212192,0.14824551,0.676607,0.80711461,1389.994804,23.5592
61,150,0.14934905,0.14609867,0.67798443,0.80809383,1416.173202,23.6029
62,150,0.14846542,0.1437154,0.68055927,0.80991998,1441.910067,23.6379
63,150,0.14645538,0.14143516,0.68917104,0.81598728,1466.193985,23.6483
64,150,0.14605647,0.13930753,0.69373663,0.81917887,1490.248828,23.6547
65,150,0.14432463,0.13736761,0.69598974,0.82074759,1514.833357,23.6693
66,150,0.14296636,0.13577949,0.69663451,0.82119573,1540.975363,23.7073
67,150,0.14194438,0.13458414,0.69285428,0.8185634,1566.015312,23.7275
68,150,0.13952032,0.13320424,0.68485104,0.81295144,1591.358533,23.7516
69,150,0.1395466,0.13204718,0.67902437,0.80883206,1616.303819,23.7692
70,150,0.13776574,0.13067248,0.67848456,0.80844897,1640.100602,23.7696
71,150,0.13679862,0.12925316,0.68403879,0.8123789,1664.897852,23.7843
72,150,0.13547319,0.12781328,0.69104747,0.81730109,1691.324903,23.8215
73,150,0.13333145,0.12640898,0.69543662,0.82036286,1715.503298,23.8264
74,150,0.13372339,0.12526752,0.69635874,0.8210041,1740.848378,23.8472
75,150,0.13233984,0.12453903,0.69211864,0.81804978,1764.512232,23.8448
76,150,0.13052097,0.12358616,0.68569368,0.81354482,1788.666272,23.8489
77,150,0.12998649,0.12302212,0.68374346,0.81217059,1813.239222,23.8584
78,150,0.12843268,0.12185388,0.68822888,0.81532651,1837.841057,23.8681
79,150,0.12750544,0.12062474,0.69969903,0.82332109,1862.812242,23.8822
80,150,0.12579568,0.11946779,0.70906007,0.82976612,1887.329171,23.8902
81,150,0.12455883,0.11847776,0.71305566,0.83249561,1912.745081,23.9093
82,150,0.12413742,0.11765526,0.71103188,0.83111471,1937.914072,23.9249
83,150,0.12301075,0.11729501,0.70744681,0.82866044,1962.510695,23.9331
84,150,0.12247482,0.11677423,0.7038458,0.82618486,1987.39784,23.9446
85,150,0.12146226,0.11595162,0.71103263,0.83111522,2011.695307,23.9488
86,150,0.11978237,0.11481851,0.72326132,0.83940992,2038.68602,23.9845
87,150,0.11908945,0.11394494,0.73055571,0.84430187,2064.070821,24.0008
88,150,0.11906976,0.11309424,0.73392946,0.84655054,2089.192977,24.0137
89,150,0.11962517,0.11262684,0.73756132,0.84896148,2116.541078,24.0516
90,150,0.11812214,0.11220035,0.73462123,0.84701054,2141.146439,24.0578
91,150,0.11686712,0.11181914,0.73239594,0.8455295,2166.09982,24.0678
92,150,0.11525183,0.11119382,0.73199208,0.84526031,2189.488453,24.0603
93,150,0.11434108,0.11064445,0.7352309,0.84741564,2211.532992,24.0384
94,150,0.1145613,0.10994501,0.74068752,0.8510287,2232.720914,24.0078
95,150,0.1132343,0.10932227,0.73897313,0.84989597,2253.020164,23.9683
96,150,0.11163359,0.1087767,0.73212719,0.84535038,2274.169256,23.9386
97,150,0.11245178,0.10854629,0.72645824,0.841559,2295.127764,23.9076
98,150,0.1109937,0.10779731,0.72751185,0.84226554,2316.440529,23.8808
99,150,0.10956549,0.10688733,0.73266607,0.84570949,2338.353516,23.8608
100,150,0.10957332,0.10573253,0.74681922,0.85506183,2359.497478,23.8333
101,150,0.1085832,0.1049123,0.75607136,0.86109412,2380.755642,23.8076
102,150,0.10806043,0.10445751,0.75707084,0.86174196,2401.723135,23.7794
