Epoch,Epochs,Train Loss,Val Loss,Val IoU,Val DICE,Dur,Dur/Epoch
1,50,0.38138731,0.61338454,0.00057989,0.00115911,33.712842,0
3,50,0.28754611,0.59591526,2.684e-05,5.368e-05,78.908797,39.4544
4,50,0.25036047,0.55925584,0.00033044,0.00066067,101.353018,33.7843
5,50,0.22334978,0.49479559,0.0063941,0.01270695,124.1069,31.0267
6,50,0.20255101,0.40751445,0.03450277,0.06670406,147.244028,29.4488
7,50,0.1864323,0.33133143,0.10317894,0.18705748,169.476684,28.2461
8,50,0.1669398,0.24499476,0.24017344,0.38732234,192.978697,27.5684
9,50,0.15379936,0.19981432,0.30288878,0.46494955,218.281061,27.2851
10,50,0.14106593,0.17877114,0.28669242,0.44562697,243.726931,27.0808
11,50,0.13114251,0.17488907,0.20546453,0.34088856,270.245136,27.0245
12,50,0.12150069,0.16222796,0.23366315,0.37881192,294.725923,26.7933
13,50,0.11409039,0.15160824,0.26728064,0.42181761,318.487795,26.5406
14,50,0.10545456,0.14692597,0.27039611,0.42568788,341.490093,26.2685
15,50,0.09792853,0.12820406,0.4014014,0.57285714,366.205654,26.1575
16,50,0.09168508,0.1279736,0.37573129,0.54622773,390.593834,26.0396
17,50,0.0850261,0.12259399,0.38967164,0.5608111,413.339945,25.8337
18,50,0.08051044,0.10871042,0.4820684,0.65053461,434.394741,25.5526
19,50,0.07694758,0.10550271,0.49931693,0.66605921,456.873888,25.3819
21,50,0.06731987,0.09542582,0.57876503,0.73318704,501.382882,25.0691
22,50,0.06360007,0.09206396,0.57813111,0.73267817,523.461508,24.9267
24,50,0.0584427,0.09070878,0.59158658,0.74339227,566.21994,24.6183
25,50,0.05475443,0.08730428,0.60010892,0.75008509,587.998542,24.4999
26,50,0.052647,0.08348413,0.63179152,0.77435323,609.899153,24.396
27,50,0.05236974,0.0809448,0.64034017,0.78074071,630.95817,24.2676
28,50,0.0477065,0.07779843,0.65731648,0.79322989,652.167494,24.1544
33,50,0.04140536,0.07204841,0.67298095,0.80452913,765.058696,23.9081
35,50,0.03819074,0.07182177,0.6812968,0.81044203,811.398461,23.8647
39,50,0.035185,0.0672003,0.6852973,0.81326577,901.859132,23.7331
42,50,0.03217157,0.06714468,0.68260659,0.81136802,970.204954,23.6635
45,50,0.02936687,0.06677511,0.68309294,0.81171149,1037.884871,23.5883
47,50,0.02805194,0.06614792,0.68827723,0.81536043,1084.356588,23.573
48,50,0.02761376,0.06241364,0.70428281,0.82648584,1107.638053,23.5668
